 fps,p_rad,days_r,dm,d_t_d,d_prob,h_i_t,vac_p,inf_p,i_rad,pop,t_inf,n_inf,imm,sus,dec,frames
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 500, 1, 0, 200, 300, 0, 80
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 500, 188, 0, 391, 72, 37, 1103
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.4, 0.97, 5, 500, 4, 0, 191, 308, 1, 184
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.1, 0.97, 5, 500, 270, 0, 377, 83, 40, 972
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.1, 0.97, 5, 500, 245, 0, 338, 125, 37, 859
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.1, 0.97, 5, 500, 216, 0, 368, 86, 46, 569
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.1, 0.97, 5, 500, 248, 0, 371, 87, 42, 1065
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.1, 0.97, 5, 500, 216, 0, 348, 103, 49, 697
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.1, 0.97, 5, 500, 245, 0, 351, 109, 40, 829
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.1, 0.97, 5, 500, 242, 0, 370, 93, 37, 868
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.1, 0.97, 5, 500, 1, 0, 46, 454, 0, 80
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.1, 0.97, 5, 500, 213, 0, 339, 124, 37, 668
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.05, 0.97, 5, 500, 229, 0, 348, 101, 51, 615
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.05, 0.97, 5, 500, 1, 0, 29, 471, 0, 80
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.05, 0.97, 5, 500, 300, 0, 376, 82, 42, 1111
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.05, 0.97, 5, 500, 1, 0, 19, 480, 1, 53
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.05, 0.97, 5, 500, 228, 0, 382, 82, 36, 613
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.05, 0.97, 5, 500, 200, 0, 296, 170, 34, 614
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.05, 0.97, 5, 500, 268, 0, 330, 116, 54, 844
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.05, 0.97, 5, 500, 241, 0, 316, 129, 55, 832
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.05, 0.97, 5, 500, 1, 0, 28, 472, 0, 80
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.05, 0.97, 5, 500, 305, 0, 377, 78, 45, 1110
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.05, 0.97, 5, 500, 6, 0, 26, 472, 2, 153
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.05, 0.97, 5, 500, 239, 0, 346, 101, 53, 620
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.05, 0.97, 5, 500, 251, 0, 343, 116, 41, 856
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.05, 0.97, 5, 500, 236, 0, 334, 131, 35, 806
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.05, 0.97, 5, 500, 257, 0, 336, 115, 49, 888
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.05, 0.97, 5, 500, 303, 0, 358, 86, 56, 1052
 1000, 5, 80, 10, 10, 0.02, 0.793, 0, 0.97, 5, 500, 233, 0, 359, 91, 50, 753
 1000, 5, 80, 10, 10, 0.02, 0.793, 0, 0.97, 5, 500, 242, 0, 361, 88, 51, 637
 1000, 5, 80, 10, 10, 0.02, 0.793, 0, 0.97, 5, 500, 1, 0, 1, 499, 0, 80
