fps,p_rad,days_r,dm,d_t_d,d_prob,h_i_t,vac_p,inf_p,i_rad,pop,t_inf,n_inf,imm,sus,dec,frames, seed
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 956, 44, 0, 80,  1
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 958, 42, 0, 80,  2
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 955, 45, 0, 80,  3
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 958, 42, 0, 80,  4
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 952, 48, 0, 80,  5
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 949, 51, 0, 80,  6
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 2, 0, 947, 53, 0, 87,  7
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 2, 0, 949, 51, 0, 121,  8
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 3, 0, 940, 59, 1, 177,  9
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 944, 56, 0, 80,  10
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 2, 0, 944, 56, 0, 150,  11
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 956, 44, 0, 80,  12
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 2, 0, 958, 42, 0, 95,  13
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 950, 50, 0, 80,  14
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 943, 57, 0, 80,  15
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 4, 0, 960, 39, 1, 161,  16
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 945, 55, 0, 80,  17
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 943, 57, 0, 80,  18
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 3, 0, 947, 53, 0, 175,  19
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 943, 57, 0, 80,  20
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 942, 58, 0, 80,  21
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 2, 0, 968, 32, 0, 127,  22
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 3, 0, 954, 46, 0, 181,  23
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 952, 48, 0, 80,  24
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 946, 54, 0, 80,  25
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 942, 58, 0, 80,  26
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 955, 44, 1, 55,  27
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 2, 0, 954, 46, 0, 124,  28
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 4, 0, 942, 57, 1, 214,  29
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 7, 0, 956, 43, 1, 181,  30
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 947, 53, 0, 80,  31
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 3, 0, 953, 47, 0, 151,  32
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 951, 49, 0, 80,  33
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 952, 48, 0, 80,  34
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 2, 0, 958, 42, 0, 108,  35
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 948, 52, 0, 80,  36
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 942, 58, 0, 80,  37
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 937, 63, 0, 80,  38
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 2, 0, 952, 48, 0, 126,  39
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 958, 42, 0, 80,  40
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 7, 0, 949, 51, 0, 224,  41
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 949, 51, 0, 80,  42
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 2, 0, 952, 48, 0, 99,  43
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 949, 51, 0, 80,  44
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 963, 36, 1, 10,  45
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 957, 43, 0, 80,  46
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 951, 49, 0, 80,  47
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 3, 0, 956, 43, 1, 109,  48
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 955, 45, 0, 80,  49
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 948, 52, 0, 80,  50
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 946, 53, 1, 17,  51
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 954, 46, 0, 80,  52
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 951, 49, 0, 80,  53
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 948, 52, 0, 80,  54
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 958, 42, 0, 80,  55
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 948, 52, 0, 80,  56
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 2, 0, 960, 40, 0, 138,  57
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 944, 55, 1, 20,  58
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 938, 62, 0, 80,  59
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 956, 44, 0, 80,  60
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 948, 52, 0, 80,  61
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 954, 46, 0, 80,  62
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 947, 53, 0, 80,  63
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 3, 0, 941, 58, 1, 103,  64
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 2, 0, 951, 48, 1, 81,  65
 1000, 5, 80, 10, 10, 0.02, 0.793, 0.95, 0.97, 5, 1000, 1, 0, 952, 48, 0, 80,  66
