fps,p_rad,days_r,dm,d_t_d,d_prob,h_i_t,vac_p,inf_p,i_rad,pop,t_inf,n_inf,imm,sus,dec,frames, seed
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 240, 0, 867, 89, 44, 978,  1
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 308, 0, 886, 64, 50, 1094,  2
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 234, 0, 851, 110, 39, 849,  3
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 236, 0, 858, 85, 57, 597,  4
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 209, 0, 827, 141, 32, 818,  5
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 237, 0, 878, 84, 38, 1068,  6
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 256, 0, 852, 94, 54, 1063,  7
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 258, 0, 873, 78, 49, 874,  8
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 243, 0, 874, 91, 35, 710,  9
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 215, 0, 849, 118, 33, 619,  10
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 3, 0, 617, 383, 0, 150,  11
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 230, 0, 852, 109, 39, 904,  12
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 201, 0, 831, 121, 48, 576,  13
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 234, 0, 847, 116, 37, 751,  14
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 269, 0, 871, 96, 33, 1112,  15
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 267, 0, 849, 110, 41, 995,  16
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 248, 0, 860, 103, 37, 909,  17
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 314, 0, 893, 44, 63, 1105,  18
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 297, 0, 856, 92, 52, 1488,  19
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 291, 0, 892, 67, 41, 1045,  20
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 198, 0, 792, 164, 44, 648,  21
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 293, 0, 866, 75, 59, 1112,  22
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 243, 0, 856, 100, 44, 784,  23
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 264, 0, 864, 97, 39, 774,  24
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 296, 0, 892, 53, 55, 903,  25
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 257, 0, 860, 93, 47, 1113,  26
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 289, 0, 843, 97, 60, 1233,  27
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 273, 0, 860, 101, 39, 919,  28
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 342, 0, 882, 65, 53, 1088,  29
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 228, 0, 835, 120, 45, 577,  30
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 232, 0, 869, 77, 54, 839,  31
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 280, 0, 861, 91, 48, 825,  32
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 269, 0, 878, 80, 42, 904,  33
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 312, 0, 882, 73, 45, 1236,  34
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.6, 0.97, 5, 1000, 3, 0, 608, 392, 0, 108,  35
