fps,p_rad,days_r,dm,d_t_d,d_prob,h_i_t,vac_p,inf_p,i_rad,pop,t_inf,n_inf,imm,sus,dec,frames, seed
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 1, 0, 796, 204, 0, 80,  1
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 1, 0, 811, 189, 0, 80,  2
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 24, 0, 828, 169, 3, 485,  3
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 8, 0, 805, 194, 1, 178,  4
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 1, 0, 812, 188, 0, 80,  5
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 15, 0, 813, 185, 2, 534,  6
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 6, 0, 811, 188, 1, 154,  7
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 5, 0, 800, 200, 0, 217,  8
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 5, 0, 794, 205, 1, 185,  9
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 1, 0, 815, 185, 0, 80,  10
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 2, 0, 792, 208, 0, 150,  11
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 2, 0, 820, 180, 0, 90,  12
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 2, 0, 806, 194, 0, 95,  13
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 1, 0, 793, 207, 0, 80,  14
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 6, 0, 816, 184, 0, 190,  15
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 58, 0, 854, 134, 12, 652,  16
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 6, 0, 800, 199, 1, 182,  17
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 4, 0, 783, 217, 0, 238,  18
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 21, 0, 811, 188, 1, 320,  19
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.8, 0.97, 5, 1000, 1, 0, 793, 207, 0, 80,  20
