fps,p_rad,days_r,dm,d_t_d,d_prob,h_i_t,vac_p,inf_p,i_rad,pop,t_inf,n_inf,imm,sus,dec,frames, seed
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 290, 0, 862, 81, 57, 897,  1
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 241, 0, 824, 125, 51, 620,  2
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 245, 0, 845, 108, 47, 658,  3
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 264, 0, 863, 63, 74, 662,  4
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 273, 0, 827, 122, 51, 827,  5
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 279, 0, 853, 88, 59, 897,  6
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 307, 0, 849, 89, 62, 926,  7
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 276, 0, 860, 74, 66, 804,  8
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 241, 0, 851, 102, 47, 631,  9
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 259, 0, 826, 109, 65, 539,  10
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 269, 0, 852, 89, 59, 706,  11
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 310, 0, 868, 75, 57, 995,  12
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 261, 0, 847, 81, 72, 735,  13
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 258, 0, 858, 84, 58, 955,  14
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 261, 0, 876, 79, 45, 552,  15
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 294, 0, 837, 114, 49, 1198,  16
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 325, 0, 872, 73, 55, 948,  17
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 273, 0, 845, 83, 72, 889,  18
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 263, 0, 857, 75, 68, 645,  19
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 250, 0, 857, 95, 48, 746,  20
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 270, 0, 810, 130, 60, 667,  21
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 302, 0, 823, 112, 65, 823,  22
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 259, 0, 879, 64, 57, 858,  23
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 248, 0, 875, 63, 62, 522,  24
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 293, 0, 877, 54, 69, 833,  25
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 346, 0, 884, 59, 57, 1153,  26
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 325, 0, 830, 98, 72, 1071,  27
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 320, 0, 842, 98, 60, 892,  28
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 272, 0, 838, 106, 56, 619,  29
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 255, 0, 834, 110, 56, 592,  30
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 221, 0, 829, 104, 67, 687,  31
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 301, 0, 833, 106, 61, 970,  32
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 276, 0, 872, 60, 68, 624,  33
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 290, 0, 857, 82, 61, 832,  34
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 3, 0, 498, 502, 0, 108,  35
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 1, 0, 475, 525, 0, 80,  36
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 309, 0, 861, 69, 70, 879,  37
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 264, 0, 857, 90, 53, 641,  38
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 270, 0, 846, 95, 59, 610,  39
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 265, 0, 853, 87, 60, 698,  40
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 311, 0, 836, 97, 67, 693,  41
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 241, 0, 823, 122, 55, 597,  42
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 233, 0, 860, 75, 65, 593,  43
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 1, 0, 504, 496, 0, 80,  44
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 1, 0, 504, 495, 1, 10,  45
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 267, 0, 813, 123, 64, 785,  46
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 285, 0, 831, 109, 60, 729,  47
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 285, 0, 822, 117, 61, 873,  48
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 1, 0, 523, 477, 0, 80,  49
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 249, 0, 848, 99, 53, 648,  50
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 303, 0, 841, 86, 73, 811,  51
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 260, 0, 865, 77, 58, 704,  52
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 254, 0, 852, 73, 75, 639,  53
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 1, 0, 501, 499, 0, 80,  54
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 260, 0, 823, 121, 56, 840,  55
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 1, 0, 489, 511, 0, 80,  56
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 245, 0, 858, 81, 61, 654,  57
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 1, 0, 507, 492, 1, 20,  58
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 251, 0, 863, 76, 61, 706,  59
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 249, 0, 854, 81, 65, 650,  60
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 1, 0, 511, 489, 0, 80,  61
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 255, 0, 862, 77, 61, 627,  62
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 371, 0, 883, 54, 63, 1125,  63
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 303, 0, 839, 101, 60, 924,  64
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 295, 0, 845, 89, 66, 821,  65
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 1, 0, 504, 496, 0, 80,  66
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 277, 0, 829, 108, 63, 652,  67
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 294, 0, 886, 62, 52, 811,  68
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 283, 0, 834, 105, 61, 835,  69
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 267, 0, 823, 123, 54, 571,  70
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 303, 0, 824, 115, 61, 995,  71
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 2, 0, 477, 523, 0, 122,  72
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 276, 0, 866, 78, 56, 553,  73
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 282, 0, 844, 81, 75, 797,  74
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 224, 0, 783, 177, 40, 920,  75
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 240, 0, 858, 79, 63, 628,  76
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 268, 0, 890, 49, 61, 814,  77
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 290, 0, 832, 95, 73, 808,  78
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 297, 0, 870, 60, 70, 1034,  79
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 245, 0, 859, 84, 57, 621,  80
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 1, 0, 496, 503, 1, 43,  81
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 240, 0, 860, 90, 50, 582,  82
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 305, 0, 829, 115, 56, 892,  83
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 288, 0, 833, 104, 63, 830,  84
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 262, 0, 844, 108, 48, 664,  85
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 1, 0, 486, 513, 1, 21,  86
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 309, 0, 852, 72, 76, 690,  87
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 252, 0, 851, 77, 72, 769,  88
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 259, 0, 873, 72, 55, 670,  89
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 318, 0, 877, 63, 60, 1021,  90
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 336, 0, 867, 66, 67, 1086,  91
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 1, 0, 526, 474, 0, 80,  92
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 260, 0, 854, 77, 69, 570,  93
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 281, 0, 866, 62, 72, 989,  94
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 1, 0, 501, 499, 0, 80,  95
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 298, 0, 868, 72, 60, 1041,  96
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 273, 0, 843, 102, 55, 639,  97
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 309, 0, 850, 74, 76, 1039,  98
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 241, 0, 832, 111, 57, 555,  99
 1000, 5, 80, 10, 10, 0.02, 0.93, 0.5, 0.97, 5, 1000, 1, 0, 494, 505, 1, 64,  100
